simID	systemTime	nTrials	defCount
80	55	100	64
80	60	100	72
81	40	100	30
81	42	100	33
81	45	100	41
81	50	100	63
81	55	100	71
81	60	100	79
82	40	100	25
82	42	100	37
82	45	100	49
82	50	100	61
82	55	100	69
82	60	100	79
83	40	100	18
83	42	100	28
83	45	100	40
83	50	100	53
83	55	100	65
83	60	100	71
84	40	100	30
84	42	100	37
84	45	100	43
84	50	100	59
84	55	100	70
84	60	100	79
85	40	100	25
85	42	100	32
85	45	100	43
85	50	100	54
85	55	100	65
85	60	100	73
86	40	100	28
86	42	100	28
86	45	100	40
86	50	100	53
86	55	100	62
86	60	100	70
87	40	100	29
87	42	100	35
87	45	100	38
87	50	100	55
87	55	100	64
87	60	100	79
88	40	100	24
88	42	100	34
88	45	100	35
88	50	100	50
88	55	100	64
88	60	100	76
89	40	100	35
89	42	100	38
89	45	100	47
89	50	100	59
89	55	100	71
89	60	100	79
90	40	100	28
90	42	100	36
90	45	100	43
90	50	100	57
90	55	100	63
90	60	100	72
91	40	100	19
91	42	100	26
91	45	100	33
91	50	100	41
91	55	100	54
91	60	100	70
92	40	100	27
92	42	100	28
92	45	100	37
92	50	100	46
92	55	100	63
92	60	100	75
93	40	100	20
93	42	100	25
93	45	100	35
93	50	100	50
93	55	100	60
93	60	100	73
94	40	100	26
94	42	100	36
94	45	100	45
94	50	100	57
94	55	100	70
94	60	100	79
95	40	100	28
95	42	100	30
95	45	100	40
95	50	100	57
95	55	100	65
95	60	100	73
96	40	100	22
96	42	100	35
96	45	100	38
96	50	100	49
96	55	100	56
96	60	100	66
97	40	100	31
97	42	100	41
97	45	100	47
97	50	100	54
97	55	100	64
97	60	100	75
98	40	100	23
98	42	100	31
98	45	100	42
98	50	100	49
98	55	100	68
98	60	100	72
99	40	100	35
99	42	100	38
99	45	100	49
99	50	100	66
99	55	100	75
99	60	100	78
